paired_activity_id,id,start_date_local
10570768646,29590549,2024-01-16T00:00:00
10577006854,29695803,2024-01-17T00:00:00
N/A,30045872,2024-01-22T00:00:00
10608342936,30055015,2024-01-22T00:00:00
N/A,30318887,2024-01-22T00:00:00
10621570886,30119422,2024-01-24T00:00:00
N/A,30347222,2024-01-29T00:00:00
10654826643,30565246,2024-01-29T00:00:00
N/A,32550759,2024-01-30T00:00:00
10668741318,30746119,2024-01-31T00:00:00
10682033255,30746062,2024-02-02T00:00:00
N/A,30347233,2024-02-05T00:00:00
10702143697,31010626,2024-02-05T00:00:00
10708924878,31200669,2024-02-06T00:00:00
N/A,30347238,2024-02-12T00:00:00
N/A,31011056,2024-02-12T00:00:00
10747954328,31794773,2024-02-12T00:00:00
10754831022,31595704,2024-02-13T00:00:00
N/A,31053021,2024-02-19T00:00:00
10794641440,32083312,2024-02-19T00:00:00
10801434961,32083328,2024-02-20T00:00:00
10821662665,32083327,2024-02-23T00:00:00
N/A,31053041,2024-02-26T00:00:00
10848701756,32232969,2024-02-27T00:00:00
10868819260,32083313,2024-03-01T00:00:00
N/A,31600468,2024-03-04T00:00:00
N/A,31600589,2024-03-04T00:00:00
10896724321,33126616,2024-03-05T00:00:00
10904942671,33205261,2024-03-06T00:00:00
N/A,31600543,2024-03-11T00:00:00
10937522317,33350959,2024-03-11T00:00:00
N/A,31600549,2024-03-18T00:00:00
10986956866,33946911,2024-03-18T00:00:00
N/A,34139976,2024-03-22T00:00:00
N/A,32549386,2024-03-25T00:00:00
N/A,32549537,2024-04-01T00:00:00
N/A,32549801,2024-04-01T00:00:00
11084774766,34735815,2024-04-01T00:00:00
11091783831,34735801,2024-04-02T00:00:00
11106072928,34932490,2024-04-04T00:00:00
11121473372,34971559,2024-04-06T00:00:00
N/A,32550041,2024-04-08T00:00:00
N/A,32550043,2024-04-15T00:00:00
N/A,32550051,2024-04-22T00:00:00
11270218215,36133223,2024-04-26T00:00:00
N/A,32549608,2024-04-29T00:00:00
N/A,32550242,2024-04-29T00:00:00
11300707226,35541661,2024-04-30T00:00:00
11309761769,36427587,2024-05-01T00:00:00
11316120297,36427588,2024-05-02T00:00:00
N/A,36427741,2024-05-06T00:00:00
11346261507,36567336,2024-05-06T00:00:00
11362664941,36569488,2024-05-08T00:00:00
11370936735,36735603,2024-05-09T00:00:00
N/A,36427747,2024-05-13T00:00:00
11411290299,36897324,2024-05-14T00:00:00
11418370730,37026347,2024-05-15T00:00:00
11432590885,36897325,2024-05-17T00:00:00
N/A,36427794,2024-05-20T00:00:00
11465017242,37426661,2024-05-21T00:00:00
N/A,37424280,2024-05-27T00:00:00
11510546292,37622175,2024-05-27T00:00:00
11517682255,37622176,2024-05-28T00:00:00
11534142780,37622375,2024-05-30T00:00:00
N/A,37424284,2024-06-03T00:00:00
N/A,37886491,2024-06-03T00:00:00
